,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11428886.0,16982.0,227 YEE KUK ST|227 醫局街,11428886.0,16982.0,673.0,,-0.022224781206817146,-0.022224781206817146
2019-11-15,11695394.0,17378.0,227 YEE KUK ST|227 醫局街,11695394.0,17378.0,673.0,,0.060410056138638035,0.060410056138638035
2019-10-15,11029124.0,16388.0,227 YEE KUK ST|227 醫局街,11029124.0,16388.0,673.0,,-0.08798486281929996,-0.08798486281929996
2019-9-15,12093137.0,17969.0,227 YEE KUK ST|227 醫局街,12093137.0,17969.0,673.0,,-0.001555814858031912,-0.001555814858031912
2019-8-15,12111981.0,17997.0,227 YEE KUK ST|227 醫局街,12111981.0,17997.0,673.0,,0.009366236679753115,0.009366236679753115
2019-7-15,11999590.0,17830.0,227 YEE KUK ST|227 醫局街,11999590.0,17830.0,673.0,,-0.03907302613850716,-0.03907302613850716
2019-6-15,12487515.0,18555.0,227 YEE KUK ST|227 醫局街,12487515.0,18555.0,673.0,,0.012661682038967337,0.012661682038967337
2019-5-15,12331379.0,18323.0,227 YEE KUK ST|227 醫局街,12331379.0,18323.0,673.0,,0.017322747210038347,0.017322747210038347
2019-4-15,12121403.0,18011.0,227 YEE KUK ST|227 醫局街,12121403.0,18011.0,673.0,,-0.011742112482853173,-0.011742112482853173
2019-3-15,12265425.0,18225.0,227 YEE KUK ST|227 醫局街,12265425.0,18225.0,673.0,,,
2019-2-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2019-1-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-12-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-11-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-10-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-9-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-8-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-7-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-6-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-5-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-4-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-3-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-2-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2018-1-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-12-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-11-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-10-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-9-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-8-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-7-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-6-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-5-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-4-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-3-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-2-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2017-1-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-12-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-11-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-10-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-9-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-8-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-7-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-6-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-5-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-4-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-3-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-2-15,,,227 YEE KUK ST|227 醫局街,,,673.0,,,
2016-1-15,,,227 YEE KUK ST|227 醫局街,,,673.0,673.0,,
