,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,13817232.0,18876.0,1,13817232.0,18876.0,732,225 YEE KUK ST|225 醫局街,13817232.0,18876.0,732.0,-0.014771125841640975,-0.014771125841640975
2018-7-15,15078467.999999998,20599.0,1,15078467.999999998,20599.0,732,225 YEE KUK ST|225 醫局街,15078467.999999998,20599.0,732.0,0.06620082815734984,0.06620082815734984
2018-6-15,14142240.0,19320.0,1,14142240.0,19320.0,732,225 YEE KUK ST|225 醫局街,14142240.0,19320.0,732.0,0.026349341266468373,0.026349341266468373
2018-5-15,13779168.0,18824.0,1,13779168.0,18824.0,732,225 YEE KUK ST|225 醫局街,13779168.0,18824.0,732.0,,
2018-4-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2018-3-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2018-2-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2018-1-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-12-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-11-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-10-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-9-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-8-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-7-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-6-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-5-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-4-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-3-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-2-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2017-1-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-12-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-11-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-10-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-9-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-8-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-7-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-6-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-5-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-4-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-3-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-2-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
2016-1-15,,,1,,,732,225 YEE KUK ST|225 醫局街,,,732.0,,
