,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
17440,20071600260024,ASP,2020-07-03,RES,blank,1973/11,2.55,0,149,0,17114,blank,FR:305 SF / ,5739713,20071600260024,B,14.0,blank,blank,PINE TREE BLDG,松林大廈,blank,blank,HILLWOOD RD,山林道,25,27,KTST,KIL9700 / KIL9875,|PINE TREE BLDG松林大廈|Phase |Block ,山林道PINE TREE BLDG松林大廈|Phase|Block,山林道PINE TREE BLDG松林大廈|Phase|Block|14|B,尖沙咀,1973,47,PINE TREE BLDG松林大廈,25-27 HILLWOOD RD|山林道,25-27 HILLWOOD RD,25-27 山林道,"松林大廈,山林道","PINE TREE BLDG,HILLWOOD RD","PINE TREE BLDG,HILLWOOD RD|松林大廈,山林道",HILLWOOD RDblankPINE TREE BLDG松林大廈|Phaseblank|Blockblank|14|Bconsid2.55,14,中,低層,西北,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17203,19112001830026,ASP,2019-11-04,RES,blank,1978/02,3.7,300,211,12333,17536,blank,RF:82 SF / ,5642281,19112001830026,D,15.0,blank,blank,PO WAH BLDG,寶華大樓,blank,blank,TEMPLE ST,廟街,300,306,KTST,KIL9288RP / KIL8117RP /,|PO WAH BLDG寶華大樓|Phase |Block ,廟街PO WAH BLDG寶華大樓|Phase|Block,廟街PO WAH BLDG寶華大樓|Phase|Block|15|D,尖沙咀,1978,42,PO WAH BLDG寶華大樓,300-306 TEMPLE ST|廟街,300-306 TEMPLE ST,300-306 廟街,"寶華大樓,廟街","PO WAH BLDG,TEMPLE ST","PO WAH BLDG,TEMPLE ST|寶華大樓,廟街",TEMPLE STblankPO WAH BLDG寶華大樓|Phaseblank|Blockblank|15|Dconsid3.7,15,低,中層,東南,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17120,19082800800035,ASP,2019-08-09,RES,blank,1978/02,3.7,305,214,12131,17290,blank,blank,5605070,19082800800035,B,11.0,blank,blank,PO WAH BLDG,寶華大樓,blank,blank,TEMPLE ST,廟街,300,306,KTST,KIL9288RP / KIL8117RP /,|PO WAH BLDG寶華大樓|Phase |Block ,廟街PO WAH BLDG寶華大樓|Phase|Block,廟街PO WAH BLDG寶華大樓|Phase|Block|11|B,尖沙咀,1978,42,PO WAH BLDG寶華大樓,300-306 TEMPLE ST|廟街,300-306 TEMPLE ST,300-306 廟街,"寶華大樓,廟街","PO WAH BLDG,TEMPLE ST","PO WAH BLDG,TEMPLE ST|寶華大樓,廟街",TEMPLE STblankPO WAH BLDG寶華大樓|Phaseblank|Blockblank|11|Bconsid3.7,11,低,高層,東,沒資料,良好,單位實用四正 交通方便 配套完善
17314,20031701260019,ASP,2020-03-02,RES,blank,1979/07,3.8,301,224,12625,16964,blank,blank,5685103,20031701260019,C,12.0,blank,blank,HAN CHEONG BLDG,恒昌大廈,blank,blank,SHANGHAI ST,上海街,20,26,KTST,KIL7422 / KIL6288/KIL8886,|HAN CHEONG BLDG恒昌大廈|Phase |Block ,上海街HAN CHEONG BLDG恒昌大廈|Phase|Block,上海街HAN CHEONG BLDG恒昌大廈|Phase|Block|12|C,尖沙咀,1979,41,HAN CHEONG BLDG恒昌大廈,20-26 SHANGHAI ST|上海街,20-26 SHANGHAI ST,20-26 上海街,"恒昌大廈,上海街","HAN CHEONG BLDG,SHANGHAI ST","HAN CHEONG BLDG,SHANGHAI ST|恒昌大廈,上海街",SHANGHAI STblankHAN CHEONG BLDG恒昌大廈|Phaseblank|Blockblank|12|Cconsid3.8,12,低,低層,北,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17045,19070901400011,ASP,2019-06-19,RES,blank,1977/10,3.8,0,275,0,13818,blank,blank,5578129,19070901400011,F,15.0,blank,blank,TIN MAN COURT,天文閣,blank,blank,KIMBERLEY ST,金巴利街,2A,blank,KTST,KIL9745,|TIN MAN COURT天文閣|Phase |Block ,金巴利街TIN MAN COURT天文閣|Phase|Block,金巴利街TIN MAN COURT天文閣|Phase|Block|15|F,尖沙咀,1977,43,TIN MAN COURT天文閣,2A KIMBERLEY ST|金巴利街,2A KIMBERLEY ST,2A 金巴利街,"天文閣,金巴利街","TIN MAN COURT,KIMBERLEY ST","TIN MAN COURT,KIMBERLEY ST|天文閣,金巴利街",KIMBERLEY STblankTIN MAN COURT天文閣|Phaseblank|Blockblank|15|Fconsid3.8,15,低,中層,南,呂字型,有,業主減價 上車筍盤 歡迎約睇
17008,19061900950015,ASP,2019-06-06,RES,blank,1987/10,3.8,475,308,8000,12338,blank,blank,5567674,19061900950015,A,3.0,blank,blank,KA WING BLDG,嘉榮大廈,blank,blank,GRANVILLE RD,加連威老道,27,blank,KTST,KIL9367 / KIL8162,|KA WING BLDG嘉榮大廈|Phase |Block ,加連威老道KA WING BLDG嘉榮大廈|Phase|Block,加連威老道KA WING BLDG嘉榮大廈|Phase|Block|3|A,尖沙咀,1987,33,KA WING BLDG嘉榮大廈,27 GRANVILLE RD|加連威老道,27 GRANVILLE RD,27 加連威老道,"嘉榮大廈,加連威老道","KA WING BLDG,GRANVILLE RD","KA WING BLDG,GRANVILLE RD|嘉榮大廈,加連威老道",GRANVILLE RDblankKA WING BLDG嘉榮大廈|Phaseblank|Blockblank|3|Aconsid3.8,3,低,低層,北,呂字型,良好,業主減價 上車筍盤 歡迎約睇
16939,19051001150020,ASP,2019-05-03,RES,blank,1984/09,3.8,303,195,12541,19487,blank,BW:12 SF (GU/NU) / ,5541377,19051001150020,D,5.0,blank,blank,HART AVENUE COURT,夏蕙閣,blank,blank,HART AVE,赫德道,19,23,KTST,KIL10429RP / KIL10432RP /,|HART AVENUE COURT夏蕙閣|Phase |Block ,赫德道HART AVENUE COURT夏蕙閣|Phase|Block,赫德道HART AVENUE COURT夏蕙閣|Phase|Block|5|D,尖沙咀,1984,36,HART AVENUE COURT夏蕙閣,19-23 HART AVE|赫德道,19-23 HART AVE,19-23 赫德道,"夏蕙閣,赫德道","HART AVENUE COURT,HART AVE","HART AVENUE COURT,HART AVE|夏蕙閣,赫德道",HART AVEblankHART AVENUE COURT夏蕙閣|Phaseblank|Blockblank|5|Dconsid3.8,5,低,中層,東南,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17234,19121100240032,ASP,2019-11-27,RES,blank,1985/02,3.8,312,236,12179,16102,blank,blank,5651547,19121100240032,F,16.0,blank,blank,FORTUNE COURT,富麗閣,blank,blank,TAK HING ST,德興街,4,6,KTST,KIL10186 / KIL9702 /,|FORTUNE COURT富麗閣|Phase |Block ,德興街FORTUNE COURT富麗閣|Phase|Block,德興街FORTUNE COURT富麗閣|Phase|Block|16|F,尖沙咀,1985,35,FORTUNE COURT富麗閣,4-6 TAK HING ST|德興街,4-6 TAK HING ST,4-6 德興街,"富麗閣,德興街","FORTUNE COURT,TAK HING ST","FORTUNE COURT,TAK HING ST|富麗閣,德興街",TAK HING STblankFORTUNE COURT富麗閣|Phaseblank|Blockblank|16|Fconsid3.8,16,低,低層,北,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17263,20010601280039,ASP,2019-12-24,RES,blank,1962/03,3.8,0,577,0,6586,blank,blank,5659490,20010601280039,blank,1.0,blank,blank,SHING HING HSE,誠興樓,blank,blank,PILKEM ST,庇利金街,57,blank,KTST,KIL1626RP,|SHING HING HSE誠興樓|Phase |Block ,庇利金街SHING HING HSE誠興樓|Phase|Block,庇利金街SHING HING HSE誠興樓|Phase|Block|1|,尖沙咀,1962,58,SHING HING HSE誠興樓,57 PILKEM ST|庇利金街,57 PILKEM ST,57 庇利金街,"誠興樓,庇利金街","SHING HING HSE,PILKEM ST","SHING HING HSE,PILKEM ST|誠興樓,庇利金街",PILKEM STblankSHING HING HSE誠興樓|Phaseblank|Blockblank|1|blankconsid3.8,1,高,低層,東南,四正,有,業主減價 上車筍盤 歡迎約睇
16900,19042400710015,ASP,2019-04-03,RES,blank,2017/05,3.86,0,152,0,25395,blank,FR:84 SF / ,5530825,19042400710015,C,3.0,blank,blank,AVA 62,blank,blank,blank,SHANGHAI ST,上海街,62,blank,KTST,KIL1503sA /,|AVA 62|Phase |Block ,上海街AVA 62|Phase|Block,上海街AVA 62|Phase|Block|3|C,尖沙咀,2017,3,AVA 62blank,62 SHANGHAI ST|上海街,62 SHANGHAI ST,62 上海街,"blank,上海街","AVA 62,SHANGHAI ST","AVA 62,SHANGHAI ST|blank,上海街",SHANGHAI STblankAVA 62blank|Phaseblank|Blockblank|3|Cconsid3.86,3,近乎零,低層,東,呂字型,有,單位實用四正 交通方便 配套完善
16945,19051401840057,ASP,2019-04-23,RES,blank,1980/11,3.88,373,274,10402,14161,blank,blank,5542869,19051401840057,E,5.0,blank,blank,WING FU MANS,永富大廈,blank,blank,PARKES ST,白加士街,10,24,KTST,KIL8583RP / KIL8619RP /,|WING FU MANS永富大廈|Phase |Block ,白加士街WING FU MANS永富大廈|Phase|Block,白加士街WING FU MANS永富大廈|Phase|Block|5|E,尖沙咀,1980,40,WING FU MANS永富大廈,10-24 PARKES ST|白加士街,10-24 PARKES ST,10-24 白加士街,"永富大廈,白加士街","WING FU MANS,PARKES ST","WING FU MANS,PARKES ST|永富大廈,白加士街",PARKES STblankWING FU MANS永富大廈|Phaseblank|Blockblank|5|Econsid3.88,5,低,中層,北,四正,良好,業主減價 上車筍盤 歡迎約睇
17262,20010600180088,ASP,2019-12-19,RES,blank,1979/03,3.88,415,285,9349,13614,blank,blank,5659090,20010600180088,B,11.0,blank,blank,TUNG WUI BLDG,東匯大廈,blank,blank,KIMBERLEY RD,金巴利道,46,48,KTST,KIL8613RP,|TUNG WUI BLDG東匯大廈|Phase |Block ,金巴利道TUNG WUI BLDG東匯大廈|Phase|Block,金巴利道TUNG WUI BLDG東匯大廈|Phase|Block|11|B,尖沙咀,1979,41,TUNG WUI BLDG東匯大廈,46-48 KIMBERLEY RD|金巴利道,46-48 KIMBERLEY RD,46-48 金巴利道,"東匯大廈,金巴利道","TUNG WUI BLDG,KIMBERLEY RD","TUNG WUI BLDG,KIMBERLEY RD|東匯大廈,金巴利道",KIMBERLEY RDblankTUNG WUI BLDG東匯大廈|Phaseblank|Blockblank|11|Bconsid3.88,11,低,中層,東,呂字型,基本,單位實用四正 交通方便 配套完善
17409,20061500110027,ASP,2020-06-03,RES,blank,1981/04,3.9,336,260,11607,15000,blank,blank,5722863,20061500110027,A,7.0,blank,blank,EALING COURT,怡齡閣,blank,blank,TEMPLE ST,廟街,259A,blank,KTST,KIL1492sERP /,|EALING COURT怡齡閣|Phase |Block ,廟街EALING COURT怡齡閣|Phase|Block,廟街EALING COURT怡齡閣|Phase|Block|7|A,尖沙咀,1981,39,EALING COURT怡齡閣,259A TEMPLE ST|廟街,259A TEMPLE ST,259A 廟街,"怡齡閣,廟街","EALING COURT,TEMPLE ST","EALING COURT,TEMPLE ST|怡齡閣,廟街",TEMPLE STblankEALING COURT怡齡閣|Phaseblank|Blockblank|7|Aconsid3.9,7,低,中層,西南,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17412,20061600290025,ASP,2020-06-01,RES,blank,1981/04,3.9,336,260,11607,15000,blank,blank,5723643,20061600290025,E,16.0,blank,blank,EALING COURT,怡齡閣,blank,blank,TEMPLE ST,廟街,259A,blank,KTST,KIL1492sERP /,|EALING COURT怡齡閣|Phase |Block ,廟街EALING COURT怡齡閣|Phase|Block,廟街EALING COURT怡齡閣|Phase|Block|16|E,尖沙咀,1981,39,EALING COURT怡齡閣,259A TEMPLE ST|廟街,259A TEMPLE ST,259A 廟街,"怡齡閣,廟街","EALING COURT,TEMPLE ST","EALING COURT,TEMPLE ST|怡齡閣,廟街",TEMPLE STblankEALING COURT怡齡閣|Phaseblank|Blockblank|16|Econsid3.9,16,低,高層,西北,四正,有,單位實用四正 交通方便 配套完善
17132,19090500910087,ASP,2019-08-13,RES,blank,1975/11,3.9,0,279,0,13978,blank,blank,5608304,19090500910087,A,6.0,blank,blank,PARKES BLDG,伯嘉士大廈,blank,blank,PARKES ST,白加士街,17,23,KTST,KIL8775RP / KIL8880RP /,|PARKES BLDG伯嘉士大廈|Phase |Block ,白加士街PARKES BLDG伯嘉士大廈|Phase|Block,白加士街PARKES BLDG伯嘉士大廈|Phase|Block|6|A,尖沙咀,1975,45,PARKES BLDG伯嘉士大廈,17-23 PARKES ST|白加士街,17-23 PARKES ST,17-23 白加士街,"伯嘉士大廈,白加士街","PARKES BLDG,PARKES ST","PARKES BLDG,PARKES ST|伯嘉士大廈,白加士街",PARKES STblankPARKES BLDG伯嘉士大廈|Phaseblank|Blockblank|6|Aconsid3.9,6,中,高層,東,呂字型,基本,單位實用四正 交通方便 配套完善
17336,20040300190039,ASP,2020-03-27,RES,blank,1979/03,3.92,415,285,9446,13754,blank,blank,5692075,20040300190039,blank,11.0,blank,blank,TUNG WUI BLDG,東匯大廈,blank,blank,KIMBERLEY RD,金巴利道,48,blank,KTST,KIL8613RP / KIL8526,|TUNG WUI BLDG東匯大廈|Phase |Block ,金巴利道TUNG WUI BLDG東匯大廈|Phase|Block,金巴利道TUNG WUI BLDG東匯大廈|Phase|Block|11|,尖沙咀,1979,41,TUNG WUI BLDG東匯大廈,48 KIMBERLEY RD|金巴利道,48 KIMBERLEY RD,48 金巴利道,"東匯大廈,金巴利道","TUNG WUI BLDG,KIMBERLEY RD","TUNG WUI BLDG,KIMBERLEY RD|東匯大廈,金巴利道",KIMBERLEY RDblankTUNG WUI BLDG東匯大廈|Phaseblank|Blockblank|11|blankconsid3.92,11,低,高層,西,呂字型,有,業主減價 上車筍盤 歡迎約睇
17376,20052201590022,ASP,2020-05-18,RES,blank,1981/04,3.92,336,260,11667,15077,blank,blank,5710751,20052201590022,E,5.0,blank,blank,EALING COURT,怡齡閣,blank,blank,TEMPLE ST,廟街,259A,blank,KTST,KIL1492sERP /,|EALING COURT怡齡閣|Phase |Block ,廟街EALING COURT怡齡閣|Phase|Block,廟街EALING COURT怡齡閣|Phase|Block|5|E,尖沙咀,1981,39,EALING COURT怡齡閣,259A TEMPLE ST|廟街,259A TEMPLE ST,259A 廟街,"怡齡閣,廟街","EALING COURT,TEMPLE ST","EALING COURT,TEMPLE ST|怡齡閣,廟街",TEMPLE STblankEALING COURT怡齡閣|Phaseblank|Blockblank|5|Econsid3.92,5,低,中層,西南,四正,基本,業主減價 上車筍盤 歡迎約睇
16867,19040801870067,ASP,2019-03-13,RES,blank,1961/11,3.93,0,610,0,6443,blank,blank,5522217,19040801870067,B4,6.0,blank,blank,blank,blank,CHUNGKING MANS,重慶大廈,NATHAN RD,彌敦道,36,44,KTST,KIL6817RP,CHUNGKING MANS||Phase |Block ,彌敦道CHUNGKING MANS|Phase|Block,彌敦道CHUNGKING MANS|Phase|Block|6|B4,尖沙咀,1961,59,blankblank,36-44 NATHAN RD|彌敦道,36-44 NATHAN RD,36-44 彌敦道,"重慶大廈,彌敦道","CHUNGKING MANS,NATHAN RD","CHUNGKING MANS,NATHAN RD|重慶大廈,彌敦道",NATHAN RDCHUNGKING MANSblankblank|Phaseblank|Blockblank|6|B4consid3.93,6,高,低層,北,呂字型,有,單位實用四正 交通方便 配套完善
17180,19102900430122,ASP,2019-10-11,RES,blank,1984/04,3.95,358,280,11034,14107,blank,BW:18 SF (GU/NU) / ,5632886,19102900430122,F,7.0,blank,blank,PO FAT BLDG,寶發大廈,blank,blank,TEMPLE ST,廟街,273,285,KTST,KIL8076 / KIL8466 /,|PO FAT BLDG寶發大廈|Phase |Block ,廟街PO FAT BLDG寶發大廈|Phase|Block,廟街PO FAT BLDG寶發大廈|Phase|Block|7|F,尖沙咀,1984,36,PO FAT BLDG寶發大廈,273-285 TEMPLE ST|廟街,273-285 TEMPLE ST,273-285 廟街,"寶發大廈,廟街","PO FAT BLDG,TEMPLE ST","PO FAT BLDG,TEMPLE ST|寶發大廈,廟街",TEMPLE STblankPO FAT BLDG寶發大廈|Phaseblank|Blockblank|7|Fconsid3.95,7,低,高層,北,呂字型,有,單位實用四正 交通方便 配套完善
17193,19111100960109,ASP,2019-10-22,RES,blank,1985/02,3.95,282,215,14007,18372,blank,blank,5638123,19111100960109,H,11.0,blank,blank,FORTUNE COURT,富麗閣,blank,blank,TAK HING ST,德興街,4,6,KTST,KIL10186 / KIL9702 /,|FORTUNE COURT富麗閣|Phase |Block ,德興街FORTUNE COURT富麗閣|Phase|Block,德興街FORTUNE COURT富麗閣|Phase|Block|11|H,尖沙咀,1985,35,FORTUNE COURT富麗閣,4-6 TAK HING ST|德興街,4-6 TAK HING ST,4-6 德興街,"富麗閣,德興街","FORTUNE COURT,TAK HING ST","FORTUNE COURT,TAK HING ST|富麗閣,德興街",TAK HING STblankFORTUNE COURT富麗閣|Phaseblank|Blockblank|11|Hconsid3.95,11,低,高層,東,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
