,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
27679,19120500460024,ASP,2019-11-23,RES,blank,1971/01,1.25,0,213,0,5869,blank,blank,5649634,19120500460024,B2,5.0,blank,blank,HUNG WAN BLDG,鴻運樓,blank,blank,CASTLE PEAK RD KWAI CHUNG,青山公路葵涌段,472,blank,NKC,KCTL55 / DD444LOT311,|HUNG WAN BLDG鴻運樓|Phase |Block ,青山公路葵涌段HUNG WAN BLDG鴻運樓|Phase|Block,青山公路葵涌段HUNG WAN BLDG鴻運樓|Phase|Block|5|B2,葵涌,1971,49,HUNG WAN BLDG鴻運樓,472 CASTLE PEAK RD KWAI CHUNG|青山公路葵涌段,472 CASTLE PEAK RD KWAI CHUNG,472 青山公路葵涌段,"鴻運樓,青山公路葵涌段","HUNG WAN BLDG,CASTLE PEAK RD KWAI CHUNG","HUNG WAN BLDG,CASTLE PEAK RD KWAI CHUNG|鴻運樓,青山公路葵涌段",CASTLE PEAK RD KWAI CHUNGblankHUNG WAN BLDG鴻運樓|Phaseblank|Blockblank|5|B2consid1.25,5,中,中層,北,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28151,20061601780046,ASP,2020-06-09,RES,blank,2020/06,1.9754,0,287,0,6883,blank,blank,5724115,20061601780046,4,16.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|16|4,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|16|4consid1.9754,16,近乎零,中層,東,四正,有,業主減價 上車筍盤 歡迎約睇
27935,20041700040196,ASP,2020-03-18,RES,blank,2020/07,1.9788,0,286,0,6919,blank,blank,5697009,20041700040196,2,20.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|20|2,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|20|2consid1.9788,20,近乎零,中層,東南,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
27721,19123101830017,ASP,2019-12-06,RES,blank,1969/11/18,1.98,0,360,0,5500,blank,blank,5657889,19123101830017,J,7.0,B,blank,blank,blank,MING YIN BLDG,名賢大樓,PING LAI PATH,屏麗徑,4,blank,NKC,DD444LOT304,MING YIN BLDG||Phase |Block B,屏麗徑MING YIN BLDG|Phase|BlockB,屏麗徑MING YIN BLDG|Phase|BlockB|7|J,葵涌,1969,51,blankblank,4 PING LAI PATH|屏麗徑,4 PING LAI PATH,4 屏麗徑,"名賢大樓B座,屏麗徑","MING YIN BLDG(BLOCK B),PING LAI PATH","MING YIN BLDG(Block B),PING LAI PATH|名賢大樓B座,屏麗徑",PING LAI PATHMING YIN BLDGblankblank|Phaseblank|BlockB|7|Jconsid1.98,7,中,高層,東北,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28232,20070300180595,ASP,2020-06-09,RES,blank,2020/06,1.9924,0,291,0,6847,blank,blank,5732471,20070300180595,11,5.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|5|11,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|5|11consid1.9924,5,近乎零,中層,西,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28200,20062300180022,ASP,2020-06-10,RES,blank,2020/06,1.9979,0,287,0,6961,blank,blank,5727711,20062300180022,3,20.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|20|3,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|20|3consid1.9979,20,近乎零,高層,東南,呂字型,良好,業主減價 上車筍盤 歡迎約睇
28154,20061602050029,ASP,2020-06-05,RES,blank,1966/01,2.0,0,300,0,6667,blank,blank,5724218,20061602050029,B,7.0,blank,blank,MING TAK BLDG,名德大樓,blank,blank,PING FU PATH,屏富徑,4,blank,NKC,DD444LOT306,|MING TAK BLDG名德大樓|Phase |Block ,屏富徑MING TAK BLDG名德大樓|Phase|Block,屏富徑MING TAK BLDG名德大樓|Phase|Block|7|B,葵涌,1966,54,MING TAK BLDG名德大樓,4 PING FU PATH|屏富徑,4 PING FU PATH,4 屏富徑,"名德大樓,屏富徑","MING TAK BLDG,PING FU PATH","MING TAK BLDG,PING FU PATH|名德大樓,屏富徑",PING FU PATHblankMING TAK BLDG名德大樓|Phaseblank|Blockblank|7|Bconsid2.0,7,近乎零,中層,西,四正,有,單位實用四正 交通方便 配套完善
27322,19061401730275,ASP,2019-06-10,RES,blank,1966/01,2.0,0,305,0,6557,blank,blank,5565290,19061401730275,K,7.0,blank,blank,MING TAK BLDG,名德大樓,blank,blank,PING FU PATH,屏富徑,4,blank,NKC,DD444LOT306,|MING TAK BLDG名德大樓|Phase |Block ,屏富徑MING TAK BLDG名德大樓|Phase|Block,屏富徑MING TAK BLDG名德大樓|Phase|Block|7|K,葵涌,1966,54,MING TAK BLDG名德大樓,4 PING FU PATH|屏富徑,4 PING FU PATH,4 屏富徑,"名德大樓,屏富徑","MING TAK BLDG,PING FU PATH","MING TAK BLDG,PING FU PATH|名德大樓,屏富徑",PING FU PATHblankMING TAK BLDG名德大樓|Phaseblank|Blockblank|7|Kconsid2.0,7,近乎零,高層,西,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
27507,19091801500019,ASP,2019-08-30,RES,blank,1967/03,2.0,0,340,0,5882,blank,blank,5613147,19091801500019,L,7.0,B,blank,blank,blank,MING TONG BLDG,名堂大樓,PING FU PATH,屏富徑,3,blank,NKC,DD444LOT305,MING TONG BLDG||Phase |Block B,屏富徑MING TONG BLDG|Phase|BlockB,屏富徑MING TONG BLDG|Phase|BlockB|7|L,葵涌,1967,53,blankblank,3 PING FU PATH|屏富徑,3 PING FU PATH,3 屏富徑,"名堂大樓B座,屏富徑","MING TONG BLDG(BLOCK B),PING FU PATH","MING TONG BLDG(Block B),PING FU PATH|名堂大樓B座,屏富徑",PING FU PATHMING TONG BLDGblankblank|Phaseblank|BlockB|7|Lconsid2.0,7,中,高層,西,沒資料,有,單位實用四正 交通方便 配套完善
27508,19091801500023,ASP,2019-08-30,RES,blank,1967/03,2.0,0,340,0,5882,blank,blank,5613148,19091801500023,L,6.0,B,blank,blank,blank,MING TONG BLDG,名堂大樓,PING FU PATH,屏富徑,3,blank,NKC,DD444LOT305,MING TONG BLDG||Phase |Block B,屏富徑MING TONG BLDG|Phase|BlockB,屏富徑MING TONG BLDG|Phase|BlockB|6|L,葵涌,1967,53,blankblank,3 PING FU PATH|屏富徑,3 PING FU PATH,3 屏富徑,"名堂大樓B座,屏富徑","MING TONG BLDG(BLOCK B),PING FU PATH","MING TONG BLDG(Block B),PING FU PATH|名堂大樓B座,屏富徑",PING FU PATHMING TONG BLDGblankblank|Phaseblank|BlockB|6|Lconsid2.0,6,中,低層,東北,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28134,20061202540015,ASP,2020-06-09,RES,blank,2020/06,2.0079,0,295,0,6806,blank,blank,5722738,20061202540015,9,5.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|5|9,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|5|9consid2.0079,5,近乎零,高層,北,四正,基本,單位實用四正 交通方便 配套完善
28195,20062201410177,ASP,2020-06-08,RES,blank,2020/06,2.016,0,293,0,6881,blank,blank,5727266,20062201410177,5,16.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|16|5,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|16|5consid2.016,16,近乎零,高層,南,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28201,20062301010136,ASP,2020-06-10,RES,blank,2020/06,2.0187,0,287,0,7034,blank,blank,5727980,20062301010136,3,24.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|24|3,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|24|3consid2.0187,24,近乎零,低層,西北,呂字型,基本,業主減價 上車筍盤 歡迎約睇
28133,20061202380245,ASP,2020-06-04,RES,blank,2020/06,2.0272,0,291,0,6966,blank,blank,5722652,20061202380245,10,8.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|8|10,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|8|10consid2.0272,8,近乎零,中層,南,沒資料,有,單位實用四正 交通方便 配套完善
28129,20061200920023,ASP,2020-06-08,RES,blank,2020/06,2.0324,0,291,0,6984,blank,blank,5722148,20061200920023,11,9.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|9|11,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|9|11consid2.0324,9,近乎零,中層,東南,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28175,20061900360377,ASP,2020-06-08,RES,blank,2020/06,2.037,0,293,0,6952,blank,blank,5726063,20061900360377,5,19.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|19|5,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|19|5consid2.037,19,近乎零,低層,東南,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28248,20070700180484,ASP,2020-06-09,RES,blank,2020/06,2.0429,0,287,0,7118,blank,blank,5734039,20070700180484,3,27.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|27|3,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|27|3consid2.0429,27,近乎零,高層,南,呂字型,良好,單位實用四正 交通方便 配套完善
28247,20070700180472,ASP,2020-06-08,RES,blank,2020/06,2.048,0,287,0,7136,blank,blank,5734038,20070700180472,4,27.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|27|4,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|27|4consid2.048,27,近乎零,中層,北,沒資料,有,業主減價 上車筍盤 歡迎約睇
27952,20042400120333,ASP,2019-12-24,RES,blank,2020/07,2.0481,0,287,0,7136,blank,blank,5699677,20042400120333,3,28.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|28|3,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|28|3consid2.0481,28,近乎零,低層,東南,四正,良好,業主減價 上車筍盤 歡迎約睇
