,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_36,npsf_36,nfa_36,lumpSum_44,npsf_44,nfa_44,lumpSum_87,npsf_87,nfa_87,lumpSum_change,npsf_change
2019-12-15,66294298.666666664,24703.666666666668,3,198882896.0,74111.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",64521428.0,24931.0,2588.0,64495548.0,24921.0,2588.0,69865920.0,24259.0,2880.0,-0.06371157855552612,-0.0637112464310079
2018-8-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-7-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-6-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-5-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-4-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-3-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-2-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-1-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-12-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-11-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-10-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-9-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-8-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-7-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-6-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-5-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-4-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-3-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-2-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2017-1-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-12-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-11-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-10-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-9-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-8-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-7-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-6-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-5-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-4-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-3-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-2-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2016-1-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
