,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6762157.479192183,11390.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7478688.087217198,12885.0,641.0,7154784.0,11232.0,637.0,5362067.8295515375,9788.0,605.0,7053090.0,11658.0,605.0,,-0.01288561991427939,-0.000986669005437646
2020-11-15,8206076.0,13203.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8218261.0,12821.0,641.0,8191183.0,12859.0,637.0,8237680.0,13616.0,605.0,8177180.0,13516.0,605.0,,0.01873440306282892,0.01873034856580702
2020-10-15,8055167.25,12960.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8066344.0,12584.0,641.0,8038940.000000001,12620.0,637.0,8085825.000000001,13365.0,605.0,8029559.999999999,13272.0,605.0,,-0.007747813533632297,-0.007751789610687898
2020-9-15,8118064.5,13061.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8128521.0,12681.0,641.0,8100092.0,12716.0,637.0,8148139.999999999,13468.0,605.0,8095505.000000001,13381.0,605.0,,0.017552229122663743,0.017547959879248287
2020-8-15,7978032.25,12836.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7987500.999999999,12461.0,641.0,7958678.0,12494.0,637.0,8006570.0,13234.0,605.0,7959380.000000001,13156.0,605.0,,-0.019913741578723054,-0.019890430832076644
2020-7-15,8140132.75,13096.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8265695.000000001,12895.0,641.0,8005816.0,12568.0,637.0,8278215.0,13683.0,605.0,8010804.999999999,13241.0,605.0,,-0.002492838805777886,-0.002494382878251211
2020-6-15,8160475.5,13129.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8286848.000000001,12928.0,641.0,8024289.0,12597.0,637.0,8296970.0,13714.0,605.0,8033795.000000001,13279.0,605.0,,-0.003281437470226578,-0.003283293162020029
2020-5-15,8187341.75,13172.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8315051.999999999,12972.0,641.0,8048495.0,12635.0,637.0,8324800.0,13760.0,605.0,8061020.0,13324.0,605.0,,0.013367519702411457,0.013366412800984717
2020-4-15,8079341.0,12999.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8206082.0,12802.0,641.0,7940841.999999999,12466.0,637.0,8215295.000000001,13579.0,605.0,7955144.999999999,13149.0,605.0,,0.05794723948183078,0.06019084903352101
2020-3-15,7636809.0,12261.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8358640.0,13040.0,641.0,8085441.000000001,12693.0,637.0,5999785.0,9917.0,605.0,8103369.999999999,13394.0,605.0,,0.021196474517488628,0.02119685170532626
2020-2-15,7478295.5,12006.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8186210.999999999,12771.0,641.0,7916635.999999999,12428.0,637.0,5873945.0,9709.0,605.0,7936390.000000001,13118.0,605.0,,0.03015877979359627,0.03015873015873005
2020-1-15,7259362.0,11655.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7947759.0,12399.0,641.0,7683494.0,12062.0,637.0,5700310.0,9422.0,605.0,7705885.0,12737.0,605.0,,-0.03757257121826574,-0.037572254335260125
2019-12-15,7542763.0,12110.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8259285.000000001,12885.0,641.0,7982247.0,12531.0,637.0,5921740.0,9788.0,605.0,8007780.000000001,13236.0,605.0,,0.011273174341840608,0.01127348643006254
2019-11-15,7458680.0,11975.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8166980.999999999,12741.0,641.0,7893704.0,12392.0,637.0,5855190.0,9678.0,605.0,7918844.999999999,13089.0,605.0,,0.00761634742924211,0.007614960663048453
2019-10-15,7402301.5,11884.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8104163.0,12643.0,641.0,7834463.0,12299.0,637.0,5811025.0,9605.0,605.0,7859554.999999999,12991.0,605.0,,0.0154132966398417,0.016073184285897435
2019-9-15,7289939.5,11696.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8059293.0,12573.0,641.0,7994350.0,12550.0,637.0,5674295.0,9379.0,605.0,7431820.0,12284.0,605.0,,-0.0413114048264519,-0.04130978238596783
2019-8-15,7604074.5,12200.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8407356.0,13116.0,641.0,8338967.0,13091.0,637.0,5918715.0,9783.0,605.0,7751259.999999999,12812.0,605.0,,-0.0005314717779087985,-0.0005324813631523151
2019-7-15,7608118.0,12207.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8411843.0,13123.0,641.0,8342789.000000001,13097.0,637.0,5923555.0,9791.0,605.0,7754285.000000001,12817.0,605.0,,-0.005889049112605127,-0.006025567950492583
2019-6-15,7653188.0,12281.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8460559.0,13199.0,641.0,8312213.0,13049.0,637.0,5904195.0,9759.0,605.0,7935785.0,13117.0,605.0,,-0.010130329315004794,-0.010135611663006028
2019-5-15,7731510.75,12406.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8545171.0,13331.0,641.0,8396297.0,13181.0,637.0,5967115.0,9863.0,605.0,8017460.0,13252.0,605.0,,0.012283486247631092,0.012279449260581332
2019-4-15,7637693.25,12256.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8439406.0,13166.0,641.0,8294377.0,13021.0,637.0,5896935.0,9747.0,605.0,7920054.999999999,13091.0,605.0,,0.009767359783632967,0.009762929702786804
2019-3-15,7563814.75,12137.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8356075.999999999,13036.0,641.0,8213478.000000001,12894.0,637.0,5841880.0,9656.0,605.0,7843824.999999999,12965.0,605.0,,0.03411995846055493,0.03416618740281585
2019-2-15,7314252.75,11736.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8060575.0,12575.0,641.0,7989891.0,12543.0,637.0,5638600.0,9320.0,605.0,7567945.0,12509.0,605.0,,0.028685935695286657,0.028682238485472578
2019-1-15,7110287.5,11409.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7833020.0,12220.0,641.0,7768215.0,12195.0,637.0,5483115.0,9063.0,605.0,7356799.999999999,12160.0,605.0,,-0.04944209630250851,-0.010257856043026647
2018-12-15,7480120.329695139,11527.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7393935.0,11535.0,641.0,7425509.000000001,11657.0,637.0,8018302.318780554,11212.0,605.0,7082735.0,11707.0,605.0,,-0.0075725489614649755,0.005538958065290034
2018-11-15,7537196.116318122,11464.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7450343.0,11623.0,641.0,7482202.0,11746.0,637.0,8080869.465272488,10694.0,605.0,7135370.0,11794.0,605.0,,-0.07476156166035886,-0.06276569653368214
2018-10-15,8146220.264955454,12232.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8066985.0,12585.0,641.0,8101365.999999999,12718.0,637.0,8751180.059821814,10955.0,605.0,7665350.0,12670.0,605.0,,0.00759821999778576,-0.05750004815749432
2018-9-15,8084790.25,12978.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8787469.0,13709.0,641.0,8724352.0,13696.0,637.0,6256910.0,10342.0,605.0,8570430.0,14166.0,605.0,,-0.10433077828335191,-0.10635038129830787
2018-8-15,9026535.75,14522.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",9061176.0,14136.0,641.0,9001447.0,14131.0,637.0,9209310.0,15222.0,605.0,8834210.0,14602.0,605.0,,0.012224498202892287,0.012355791014603934
2018-7-15,8917523.5,14345.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8907336.0,13896.0,641.0,9032023.0,14179.0,637.0,9049590.0,14958.0,605.0,8681145.0,14349.0,605.0,,-0.007537078005432463,-0.007506572575065706
2018-6-15,8985246.0,14454.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8984256.0,14016.0,641.0,9111648.0,14304.0,637.0,9125820.0,15084.0,605.0,8719260.0,14412.0,605.0,,0.041329478839295275,0.04133571081212506
2018-5-15,8628629.25,13880.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8629142.0,13462.0,641.0,8752380.0,13740.0,637.0,8762215.0,14483.0,605.0,8370780.0,13836.0,605.0,,0.040996597101443655,0.04112286228622852
2018-4-15,8288816.0,13332.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8325307.999999999,12988.0,641.0,8445346.0,13258.0,637.0,8451245.0,13969.0,605.0,7933365.000000001,13113.0,605.0,,0.024234135062398687,0.024238466561671723
2018-3-15,8092696.499999999,13016.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8129161.999999999,12682.0,641.0,8247238.999999999,12947.0,637.0,8249779.999999999,13636.0,605.0,7744605.0,12801.0,605.0,,0.0055970976879842205,0.005601050679851616
2018-2-15,8047653.0,12944.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8084932.999999999,12613.0,641.0,8202648.999999999,12877.0,637.0,8202590.0,13558.0,605.0,7700440.000000001,12728.0,605.0,,0.01995153944008554,0.01995547938459108
2018-1-15,7890230.75,12690.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7927247.0,12367.0,641.0,8044036.0,12628.0,637.0,8040449.999999999,13290.0,605.0,7549190.0,12478.0,605.0,622.0,,
