,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AD,npsf_AD,nfa_AD,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9184245.2,12411.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7948399.999999999,12400.0,641.0,14556231.0,11673.0,1247.0,8159332.999999999,12809.0,637.0,7808310.000000001,12885.0,606.0,7448952.0,12292.0,606.0,,-0.01635571277831005,-0.016404095476590497
2019-7-15,9534159.4,12882.4,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8425304.0,13144.0,641.0,15107405.0,12115.0,1247.0,8452990.0,13270.0,637.0,7977384.0,13164.0,606.0,7707714.0,12719.0,606.0,,-0.0034856306681816385,-0.006049009320412302
2019-6-15,9567508.2,12960.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8601579.0,13419.0,641.0,14959011.999999998,11996.0,1247.0,8367632.000000001,13136.0,637.0,8053740.0,13290.0,606.0,7855578.0,12963.0,606.0,,-0.028499253333648666,-0.029313521367265394
2019-5-15,9848173.8,13352.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8814391.0,13751.0,641.0,15339347.0,12301.0,1247.0,8578479.0,13467.0,637.0,8451882.0,13947.0,606.0,8056770.000000001,13295.0,606.0,,0.013765306397024224,0.014681966714795935
2019-4-15,9714451.4,13159.0,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8725933.0,13613.0,641.0,15194695.0,12185.0,1247.0,8495669.0,13337.0,637.0,8174334.0,13489.0,606.0,7981626.0,13171.0,606.0,,0.008547253631473684,0.010660358519838375
2019-3-15,9632123.2,13020.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8604143.0,13423.0,641.0,15235846.0,12218.0,1247.0,8381009.0,13157.0,637.0,8062830.0,13305.0,606.0,7876788.0,12998.0,606.0,,0.03784238259186479,0.03786308707712904
2019-2-15,9280911.4,12545.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8286848.0,12928.0,641.0,14682178.000000002,11774.0,1247.0,8075248.999999999,12677.0,637.0,7767708.000000001,12818.0,606.0,7592574.0,12529.0,606.0,,0.005835004159608026,0.005853017110052816
2019-1-15,9227071.4,12472.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8235568.0,12848.0,641.0,14598629.000000002,11707.0,1247.0,8028748.0,12604.0,637.0,7721046.0,12741.0,606.0,7551366.0,12461.0,606.0,,0.014734039793322662,0.014296867375817479
2018-12-15,9093093.4,12296.4,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8095189.0,12629.0,641.0,14359205.0,11515.0,1247.0,7895615.000000001,12395.0,637.0,7591968.0,12528.0,606.0,7523490.000000001,12415.0,606.0,,-0.007866545684292237,-0.00784275755228514
2018-11-15,9165191.8,12393.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8156083.999999999,12724.0,641.0,14475176.0,11608.0,1247.0,7958041.000000001,12493.0,637.0,7650750.0,12625.0,606.0,7585907.999999999,12518.0,606.0,,-0.0757065715072649,-0.026180972436118943
2018-10-15,9915889.821856543,12726.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8788751.0,13711.0,641.0,15782891.109282713,9345.0,1247.0,8579753.0,13469.0,637.0,8246448.0,13608.0,606.0,8181605.999999999,13501.0,606.0,,0.010281441230629573,-0.0032580432943830617
2018-9-15,9814977.705398548,12768.4,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8642603.0,13483.0,641.0,15524578.526992735,9947.0,1247.0,8589945.0,13485.0,637.0,8111916.0,13386.0,606.0,8205846.000000001,13541.0,606.0,,-0.06699179691142798,-0.05399638443529031
2018-8-15,10519712.123545816,13497.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",9202837.0,14357.0,641.0,16534899.617729079,9539.0,1247.0,9149868.0,14364.0,637.0,8878506.0,14651.0,606.0,8832450.0,14575.0,606.0,,-0.001318416943672407,-0.04628255677562498
2018-7-15,10533599.8,14152.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",9076560.0,14160.0,641.0,17224811.0,13813.0,1247.0,8981700.0,14100.0,637.0,8717916.0,14386.0,606.0,8667012.0,14302.0,606.0,,0.0038344808268908626,0.0031187536326391374
2018-6-15,10493363.2,14108.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8904131.0,13891.0,641.0,17098864.0,13712.0,1247.0,9111011.0,14303.0,637.0,8782758.0,14493.0,606.0,8570052.0,14142.0,606.0,,0.027226401653451138,0.027261209570548672
2018-5-15,10215239.0,13733.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8667602.0,13522.0,641.0,16648697.000000002,13351.0,1247.0,8867040.0,13920.0,637.0,8550660.0,14110.0,606.0,8342196.000000001,13766.0,606.0,,0.029976089788018356,0.029998950036748795
2018-4-15,9917938.0,13333.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8415048.0,13128.0,641.0,16166108.0,12964.0,1247.0,8607144.0,13512.0,637.0,8302200.000000001,13700.0,606.0,8099190.0,13365.0,606.0,,0.020296307915705247,0.02032414563597107
2018-3-15,9720644.8,13068.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8247106.0,12866.0,641.0,15846876.000000002,12708.0,1247.0,8433880.0,13240.0,637.0,8137974.000000001,13429.0,606.0,7937387.999999999,13098.0,606.0,,0.008933995349413637,0.008956007473633898
2018-2-15,9634569.6,12952.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8173391.0,12751.0,641.0,15708459.0,12597.0,1247.0,8357439.999999999,13120.0,637.0,8066466.0,13311.0,606.0,7867091.999999999,12982.0,606.0,,0.04468588410722685,0.03612626593923496
2018-1-15,9222456.0,12500.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7984295.999999999,12456.0,641.0,14400356.0,11548.0,1247.0,8162518.0,12814.0,637.0,7880424.0,13004.0,606.0,7684686.0,12681.0,606.0,,0.01662477421397357,0.017351107638719387
2017-12-15,9071642.0,12287.4,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7840070.999999999,12231.0,641.0,14219541.0,11403.0,1247.0,8013459.999999999,12580.0,637.0,7739226.0,12771.0,606.0,7545912.0,12452.0,606.0,,0.017945178616257218,0.017927263689835105
2017-11-15,8911719.6,12071.0,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7702256.0,12016.0,641.0,13967647.0,11201.0,1247.0,7871408.999999999,12357.0,637.0,7604088.0,12548.0,606.0,7413198.0,12233.0,606.0,,0.038911781210605234,0.03888391627650778
2017-10-15,8577936.8,11619.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7414447.0,11567.0,641.0,13442660.0,10780.0,1247.0,7575841.0,11893.0,637.0,7320480.0,12080.0,606.0,7136256.0,11776.0,606.0,,-0.019012945464951803,-0.01902976883980878
2017-9-15,8744189.6,11844.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7558672.0,11792.0,641.0,13702036.0,10988.0,1247.0,7721714.000000001,12122.0,637.0,7463496.0,12316.0,606.0,7275030.0,12005.0,606.0,,0.016726934879865762,0.016703862660944147
2017-8-15,8600332.4,11650.0,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7434959.0,11599.0,641.0,13475082.0,10806.0,1247.0,7593677.0,11921.0,637.0,7342296.0,12116.0,606.0,7155648.0,11808.0,606.0,,0.009385490381479844,0.009374620943007228
2017-7-15,8520364.6,11541.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7365731.0,11491.0,641.0,13349135.0,10705.0,1247.0,7522333.0,11809.0,637.0,7275030.0,12005.0,606.0,7089594.0,11699.0,606.0,,0.0024183838111744294,0.0023970401764776827
2017-6-15,8499808.8,11514.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7348424.0,11464.0,641.0,13315466.0,10678.0,1247.0,7503860.0,11780.0,637.0,7258668.0,11978.0,606.0,7072626.0,11671.0,606.0,,0.002233970817214548,0.0022108488266834314
2017-5-15,8480862.8,11488.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7332399.0,11439.0,641.0,13284291.0,10653.0,1247.0,7486024.0,11752.0,637.0,7244124.0,11954.0,606.0,7057476.0,11646.0,606.0,,0.014345549117030343,0.014320272632563968
2017-4-15,8360920.8,11326.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7229198.0,11278.0,641.0,13094747.0,10501.0,1247.0,7379645.0,11585.0,637.0,7142922.0,11787.0,606.0,6958092.0,11482.0,606.0,,0.010400321474940855,0.01038340083138567
2017-3-15,8274859.6,11210.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7155483.0,11163.0,641.0,12958824.0,10392.0,1247.0,7303205.0,11465.0,637.0,7070202.0,11667.0,606.0,6886584.0,11364.0,606.0,,0.05294739418647132,0.05293708789660556
2017-2-15,7858758.8,10646.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6795882.0,10602.0,641.0,12306643.0,9869.0,1247.0,6935019.0,10887.0,637.0,6715692.0,11082.0,606.0,6540558.0,10793.0,606.0,,0.013785846666292567,0.01376880594172536
2017-1-15,7751892.4,10502.0,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6703578.0,10458.0,641.0,12138298.0,9734.0,1247.0,6840106.0,10738.0,637.0,6625398.0,10933.0,606.0,6452082.0,10647.0,606.0,,0.027343868136410876,0.027110554729676828
2016-12-15,7545567.4,10224.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6568327.0,10247.0,641.0,11797867.0,9461.0,1247.0,6648369.0,10437.0,637.0,6441174.0,10629.0,606.0,6272100.0,10350.0,606.0,,-0.017289788761193137,-0.01729970782715673
2016-11-15,7678324.0,10404.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6684348.0,10428.0,641.0,12004869.0,9627.0,1247.0,6764303.0,10619.0,637.0,6555102.0,10817.0,606.0,6382998.0,10533.0,606.0,,0.016387558405732916,0.016371664126909602
2016-10-15,7554523.8,10237.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6577301.0,10261.0,641.0,11810337.0,9471.0,1247.0,6654739.0,10447.0,637.0,6450264.0,10644.0,606.0,6279978.0,10363.0,606.0,,-0.015994003528421175,-0.01601337972663819
2016-9-15,7677314.8,10403.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6684348.0,10428.0,641.0,12001128.0,9624.0,1247.0,6762392.0,10616.0,637.0,6556314.0,10819.0,606.0,6382392.0,10532.0,606.0,,0.029614975730541282,0.02958989787031907
2016-8-15,7456491.0,10104.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6492689.0,10129.0,641.0,11654462.0,9346.0,1247.0,6567470.0,10310.0,637.0,6368454.0,10509.0,606.0,6199380.0,10230.0,606.0,,-0.01334706899483773,-0.013357287923762007
2016-7-15,7557359.6,10241.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6580506.0,10266.0,641.0,11811584.0,9472.0,1247.0,6655376.000000001,10448.0,637.0,6455718.0,10653.0,606.0,6283614.0,10369.0,606.0,,0.06817978669760061,0.06736701684175417
2016-6-15,7074988.4,9595.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6172189.0,9629.0,641.0,11012257.0,8831.0,1247.0,6242600.0,9800.0,637.0,6054545.999999999,9991.0,606.0,5893350.0,9725.0,606.0,,0.02308792939649229,0.02311694958628352
2016-5-15,6915327.8,9378.4,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6032451.0,9411.0,641.0,10765351.0,8633.0,1247.0,6101823.0,9579.0,637.0,5916984.0,9764.0,606.0,5760030.0,9505.0,606.0,,-0.008288394363513252,-0.008269356851299703
2016-4-15,6973123.8,9456.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6082449.0,9489.0,641.0,10856382.0,8706.0,1247.0,6153420.0,9660.0,637.0,5965464.0,9844.0,606.0,5807904.0,9584.0,606.0,,-0.024226160573727507,-0.024207528479445295
2016-3-15,7146250.0,9691.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6233083.999999999,9724.0,641.0,11126981.0,8923.0,1247.0,6306937.0,9901.0,637.0,6112722.0,10087.0,606.0,5951526.0,9821.0,606.0,,0.045477744231135375,0.045504563402162024
2016-2-15,6835391.8,9269.4,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",5961300.0,9300.0,641.0,10644392.0,8536.0,1247.0,6033027.0,9471.0,637.0,5846082.0,9647.0,606.0,5692158.0,9393.0,606.0,,-0.053742412134394124,-0.053717995834864696
2016-1-15,7223605.8,9795.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",6299747.999999999,9828.0,641.0,11250434.000000002,9022.0,1247.0,6375733.0,10009.0,637.0,6176958.0,10193.0,606.0,6015156.0,9926.0,606.0,747.4,,
