,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8759700.0,9733.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",8759700.0,9733.0,900.0,,0.009437875959344533,0.009437875959344533
2019-7-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-6-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-5-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-4-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-3-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-2-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-1-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-12-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-11-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-10-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-9-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-8-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-7-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-6-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-5-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-4-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-3-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-2-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2018-1-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,900.0,,
