,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,5968040.0,11477.0,1,5968040.0,11477.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5968040.0,11477.0,520.0,-0.0009575208913649158,-0.0009575208913649158
2018-1-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-12-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-11-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-10-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-9-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-8-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-7-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-6-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-5-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-4-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-3-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-2-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-1-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-12-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-11-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-10-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-9-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-8-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-7-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-6-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-5-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-4-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-3-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-2-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-1-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
