,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,5960240.0,11462.0,1,5960240.0,11462.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5960240.0,11462.0,520.0,-0.0009587727708533222,-0.0009587727708533222
2017-3-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-2-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-1-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-12-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-11-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-10-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-9-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-8-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-7-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-6-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-5-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-4-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-3-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-2-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2016-1-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
