,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,24610764.877155453,22322.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23963631.330596358,21785.0,1575.0,,,3157.0,25257898.423714545,22860.0,1582.0,,-0.33779453028420725,-0.06484991935652795
2020-1-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-12-15,44059545.37931182,18057.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",37818957.90394627,19726.0,1575.0,56180062.60538343,14619.0,3157.0,38179615.62860576,19826.0,1582.0,,0.512030451182556,0.12598212429848266
2019-11-15,29139324.108752534,16036.666666666666,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",25009005.378033638,17517.0,1575.0,37156878.3463945,12984.0,3157.0,25252088.601829465,17609.0,1582.0,,,
2019-10-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-9-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-8-15,29126495.914312255,17372.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",24997828.153683715,18974.0,1575.0,37129809.96034285,14060.0,3157.0,25251849.62891019,19082.0,1582.0,,,
2019-7-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-6-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-5-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-4-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-3-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-2-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2019-1-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-12-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-11-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-10-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-9-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-8-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-7-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-6-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-5-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-4-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-3-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-2-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2018-1-15,34447864.5,21822.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",33542775.0,21297.0,1575.0,,,3157.0,35352954.0,22347.0,1582.0,,-0.022421368327426028,-0.02242132377645878
2017-12-15,35237947.5,22322.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",34311375.0,21785.0,1575.0,,,3157.0,36164520.0,22860.0,1582.0,,-0.06484998241250306,-0.06484991935652795
2017-11-15,37681598.5,23870.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",36689625.0,23295.0,1575.0,,,3157.0,38673572.0,24446.0,1582.0,,0.5312889447700757,0.5312890913173172
2017-10-15,24607765.0,15588.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23958900.0,15212.0,1575.0,,,3157.0,25256630.0,15965.0,1582.0,,3.200311781492715e-05,3.207595586340872e-05
2017-9-15,24606977.5,15588.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23957325.0,15211.0,1575.0,,,3157.0,25256630.0,15965.0,1582.0,,3.2004142047181716e-05,3.207698476348497e-05
2017-8-15,24606190.0,15587.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23955750.0,15210.0,1575.0,,,3157.0,25256630.0,15965.0,1582.0,,9.61639133818526e-05,9.624021557819162e-05
2017-7-15,24603824.0,15586.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23952600.0,15208.0,1575.0,,,3157.0,25255048.0,15964.0,1582.0,,-0.30390124074889546,-0.3039012081016502
2017-6-15,35345306.5,22390.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",34409025.0,21847.0,1575.0,,,3157.0,36281588.0,22934.0,1582.0,,0.07267578710867628,0.07267588090162169
2017-5-15,32950596.0,20873.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",32076450.000000004,20366.0,1575.0,,,3157.0,33824742.0,21381.0,1582.0,,-0.16509348123369338,-0.16509339626414943
2017-4-15,39466210.0,25001.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",38417400.0,24392.0,1575.0,,,3157.0,40515020.0,25610.0,1582.0,,0.111032068022074,0.11103210754360626
2017-3-15,35522116.0,22502.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",34577550.0,21954.0,1575.0,,,3157.0,36466682.0,23051.0,1582.0,,0.2333126940903687,0.5716963121624139
2017-2-15,28802197.666666668,14317.333333333334,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23944725.0,15203.0,1575.0,37208402.0,11786.0,3157.0,25253466.0,15963.0,1582.0,,,
2017-1-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-12-15,36206027.56804622,18057.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",31077811.19112503,19726.0,1575.0,46166089.04957442,14619.0,3157.0,31374182.463439193,19826.0,1582.0,,0.24251432301310905,0.12598212429848266
2016-11-15,29139324.108752534,16036.666666666666,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",25009005.378033638,17517.0,1575.0,37156878.3463945,12984.0,3157.0,25252088.601829465,17609.0,1582.0,,,
2016-10-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-9-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-8-15,29126495.914312255,17372.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",24997828.153683715,18974.0,1575.0,37129809.96034285,14060.0,3157.0,25251849.62891019,19082.0,1582.0,,,
2016-7-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-6-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-5-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-4-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-3-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-2-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,,,
2016-1-15,,,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",,,1575.0,,,3157.0,,,1582.0,2104.6666666666665,,
